#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
132	NM_001159543	chr2	-	62333222	62412231	62334246	62411791	25	62333222,62334596,62345055,62347817,62348500,62352121,62354538,62356615,62356959,62358783,62359276,62360284,62360608,62362661,62364927,62372754,62374365,62378203,62379096,62379276,62385173,62386430,62387064,62411214,62411785,	62334329,62334669,62345120,62347917,62348555,62352316,62354608,62356714,62357007,62358905,62359330,62360352,62360716,62362706,62365063,62372867,62374526,62378324,62379169,62379329,62385242,62386522,62387160,62411299,62412231,	0	Dpp4	cmpl	cmpl	1,0,1,0,2,2,1,1,1,2,2,0,0,0,2,0,1,0,2,0,0,1,1,0,0,
135	NM_027225	chr2	-	65088338	65238791	65089470	65238439	13	65088338,65095687,65097632,65102068,65103159,65107011,65107757,65125892,65126207,65133578,65136344,65150978,65238362,	65089557,65095864,65099392,65102166,65103394,65107086,65107917,65126117,65126305,65133807,65136546,65151167,65238791,	0	Cobll1	cmpl	cmpl	0,0,1,2,1,1,0,0,1,0,2,2,0,
139	NM_001081088	chr2	-	69424334	69586029	69425644	69585893	79	69424334,69425970,69428592,69430262,69431074,69431916,69432182,69433001,69435002,69436567,69437422,69438341,69439771,69441285,69442745,69443679,69448114,69451261,69453791,69454809,69455459,69456822,69458371,69459473,69460340,69461256,69464573,69465588,69466204,69466764,69469372,69472345,69475379,69477009,69478571,69479098,69480015,69481124,69482224,69482696,69482992,69486163,69487822,69489134,69491754,69492351,69495670,69496328,69499191,69500609,69501486,69502477,69503386,69505080,69506378,69507764,69507967,69509132,69510342,69510929,69513246,69514136,69516390,69518308,69519913,69521718,69523145,69523920,69525160,69527515,69533452,69534908,69535984,69537514,69537950,69548939,69550829,69552352,69585814,	69425803,69426042,69428721,69430364,69431204,69432034,69432250,69433092,69435122,69436744,69437643,69438470,69439937,69441429,69442877,69443811,69448243,69451384,69453929,69454926,69455576,69456942,69458500,69459719,69460537,69461434,69464797,69465759,69466357,69467281,69469668,69472547,69475511,69477132,69478697,69479341,69480219,69481414,69482383,69482862,69483913,69486352,69488062,69489348,69491932,69492461,69495814,69496495,69499320,69500787,69501715,69502662,69503598,69505329,69506756,69507881,69508087,69509378,69510624,69511067,69513377,69514262,69516583,69518512,69520054,69521921,69523352,69524144,69525330,69527644,69533572,69535058,69536101,69537628,69538061,69549056,69550952,69552460,69586029,	0	Lrp2	cmpl	cmpl	0,0,0,0,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,0,2,0,0,1,1,0,2,0,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,0,
140	NR_040496	chr2	-	70489939	70563357	70563357	70563357	3	70489939,70492782,70563258,	70490599,70492912,70563357,	0	Gad1os	unk	unk	-1,-1,-1,
144	NR_027899	chr2	-	74710043	74716130	74716130	74716130	3	74710043,74714270,74715705,	74710281,74714401,74716130,	0	Hoxd3os1	unk	unk	-1,-1,-1,
145	NM_001081033	chr2	-	75985807	76338938	75991131	76338607	20	75985807,76017835,76022710,76029276,76030923,76046778,76050139,76058975,76075352,76075936,76113503,76136366,76137338,76139834,76158295,76194888,76211022,76215317,76291164,76337695,	75991287,76017919,76022785,76029340,76031001,76046879,76050230,76059085,76075460,76076083,76113554,76136459,76137406,76139910,76158428,76194953,76211163,76215407,76291323,76338938,	0	Pde11a	cmpl	cmpl	0,0,0,2,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,
148	NM_010576	chr2	+	79255425	79333114	79255659	79326615	28	79255425,79256177,79272787,79272992,79277761,79279082,79280573,79281493,79281645,79284739,79287004,79288206,79288821,79289236,79291984,79300984,79303282,79313692,79314914,79315624,79315974,79318102,79320481,79321392,79322634,79325066,79325574,79326519,	79255856,79256299,79272894,79273122,79277829,79279212,79280659,79281556,79281783,79284851,79287099,79288297,79288867,79289391,79292139,79301134,79303359,79313843,79315010,79315704,79316064,79318193,79320589,79321518,79322754,79325165,79325694,79333114,	0	Itga4	cmpl	cmpl	0,2,1,0,1,0,1,0,0,0,1,0,1,2,1,0,0,2,0,0,2,2,0,0,0,0,0,0,
159	NM_001135657	chr2	-	90429755	90479174	90430001	90479119	26	90429755,90430225,90436448,90439856,90440624,90444419,90446155,90446383,90448058,90449775,90449972,90450814,90452059,90453048,90453282,90455092,90458137,90459441,90460475,90463080,90464463,90468249,90469533,90471092,90474970,90478966,	90430046,90430345,90436568,90439992,90440785,90444539,90446290,90446457,90448149,90449863,90449981,90450856,90452147,90453173,90453493,90455224,90458428,90459714,90460736,90463338,90464727,90468462,90469761,90471335,90474989,90479174,	0	Ptprj	cmpl	cmpl	0,0,0,2,0,0,0,1,0,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,
160	NM_011957	chr2	-	91982327	92024170	91982970	92024105	12	91982327,91983164,91986160,91987035,91990706,91990908,91991125,91991886,91993270,91995256,92001844,92024003,	91983007,91983432,91986287,91987135,91990775,91990967,91991275,91992044,91993349,91995441,92002073,92024170,	0	Creb3l1	cmpl	cmpl	2,1,0,2,2,0,0,1,0,1,0,0,
161	NM_030725	chr2	+	92915100	92956051	92915186	92953667	6	92915100,92940752,92943051,92945913,92951301,92953362,	92915369,92940978,92943186,92946215,92951431,92956051,	0	Syt13	cmpl	cmpl	0,0,1,1,0,1,
170	NM_173749	chr2	+	102550020	102643040	102550191	102642520	11	102550020,102580732,102586594,102609861,102611561,102614835,102634327,102636173,102639210,102640666,102641983,	102550264,102580909,102586723,102609976,102611779,102614943,102634540,102636240,102639443,102640959,102643040,	0	Pamr1	cmpl	cmpl	0,1,1,1,2,1,1,1,2,1,0,
170	NM_020267	chr2	-	102300118	102400900	102304476	102400684	5	102300118,102346963,102357416,102380863,102400012,	102304504,102346983,102357656,102380941,102400900,	0	Trim44	cmpl	cmpl	2,0,0,0,0,
171	NM_001039150	chr2	-	102811141	102901665	102814132	102901346	14	102811141,102822207,102824260,102828541,102831329,102832482,102834233,102837812,102839357,102853014,102855898,102861559,102865280,102901267,	102814337,102822286,102824332,102828610,102831536,102832572,102834335,102837938,102839477,102853236,102855967,102861696,102865446,102901665,	0	Cd44	cmpl	cmpl	2,1,1,1,1,1,1,1,1,1,1,2,1,0,
171	NM_178890	chr2	+	103566309	103718423	103566726	103717357	17	103566309,103678744,103683277,103700770,103702255,103705052,103705630,103707576,103708079,103709279,103710675,103711147,103711444,103712386,103715502,103716039,103717159,	103567609,103678891,103683491,103700923,103702421,103705142,103705732,103707673,103708215,103709506,103710854,103711253,103711547,103712477,103715571,103716153,103718423,	0	Abtb2	cmpl	cmpl	0,1,1,2,2,0,0,0,1,2,1,0,1,2,0,0,0,
172	NM_001033347	chr2	-	104143074	104410334	104148780	104410163	21	104143074,104152931,104154909,104156782,104167837,104192434,104201111,104205058,104208081,104214090,104221134,104230283,104233413,104238649,104241073,104248252,104249153,104252591,104254955,104258163,104409928,	104149062,104153083,104155058,104156880,104168188,104192564,104201326,104205240,104208206,104214275,104221298,104230455,104233565,104238709,104241236,104248386,104249373,104252707,104255570,104258508,104410334,	0	D430041D05Rik	cmpl	cmpl	0,1,2,0,0,2,0,1,2,0,1,0,1,1,0,1,0,1,1,1,0,
173	NM_001159638	chr2	+	105224341	105379860	105297747	105379008	3	105224341,105297725,105378629,	105224380,105297968,105379860,	0	Them7	cmpl	cmpl	-1,0,2,
173	NR_015462	chr2	-	105076537	105126510	105126510	105126510	7	105076537,105079562,105085637,105089010,105100202,105100589,105126322,	105078459,105079785,105085804,105089509,105100298,105100761,105126510,	0	Wt1os	unk	unk	-1,-1,-1,-1,-1,-1,-1,
173	NR_002867	chr2	-	105536079	105670330	105670330	105670330	4	105536079,105584822,105598295,105670235,	105537239,105584932,105598394,105670330,	0	Pax6os1	unk	unk	-1,-1,-1,-1,
174	NM_001143683	chr2	+	106693180	106868360	106699407	106867066	7	106693180,106699287,106744699,106783632,106861487,106864654,106866947,	106693821,106699535,106744881,106783858,106861603,106864768,106868360,	0	Mpped2	cmpl	cmpl	-1,0,2,1,2,1,1,
177	NM_001048139	chr2	+	109675896	109727043	109723402	109724152	2	109675896,109723381,	109676395,109727043,	0	Bdnf	cmpl	cmpl	-1,0,
178	NM_026271	chr2	-	110360924	110362993	110362141	110362795	1	110360924,	110362993,	0	Fibin	cmpl	cmpl	0,
183	NM_001136072	chr2	-	115861263	116065058	115866845	116064813	13	115861263,115866809,115867268,115868744,115921671,116000130,116049083,116058630,116059513,116060680,116061450,116063187,116064801,	115864513,115866904,115867358,115868803,115921748,116000276,116049198,116058780,116059564,116060731,116061592,116063420,116065058,	0	Meis2	cmpl	cmpl	-1,1,1,2,0,1,0,0,0,0,2,0,0,
184	NM_011246	chr2	-	117279983	117342877	117282541	117342709	17	117279983,117284852,117286071,117286841,117287823,117288616,117289344,117290315,117291665,117293753,117294708,117298461,117300442,117301960,117305775,117338275,117342674,	117282676,117285232,117286224,117286878,117287968,117288726,117289449,117290396,117291941,117293870,117294882,117298615,117300574,117302021,117305883,117338460,117342877,	0	Rasgrp1	cmpl	cmpl	0,1,1,0,2,0,0,0,0,0,0,2,2,1,1,2,0,
185	NM_201367	chr2	-	118277097	118373419	118279228	118373187	3	118277097,118283905,118373018,	118280354,118284158,118373419,	0	Gpr176	cmpl	cmpl	2,1,0,
187	NM_177845	chr2	-	120166411	120245335	120167832	120244907	20	120166411,120168471,120170028,120171107,120171717,120173652,120174252,120176721,120181416,120182703,120184570,120184999,120185188,120186346,120187195,120188509,120189403,120191193,120200212,120244685,	120168050,120168655,120170195,120171311,120171825,120173790,120174367,120176944,120181553,120182839,120184608,120185086,120185349,120186410,120187238,120188550,120189535,120191330,120200285,120245335,	0	Pla2g4e	cmpl	cmpl	1,0,1,1,1,1,0,2,0,2,0,0,1,0,2,0,0,1,0,0,
191	NM_172537	chr2	+	124610295	124667789	124653634	124665309	17	124610295,124653580,124654146,124654795,124654977,124655152,124655485,124656009,124656829,124657643,124657970,124658409,124658645,124659567,124659806,124660243,124664020,	124611060,124653743,124654258,124654856,124655040,124655254,124655576,124656129,124656918,124657861,124658102,124658565,124658819,124659708,124659884,124660344,124667789,	0	Sema6d	cmpl	cmpl	-1,0,1,2,0,0,0,1,1,0,2,2,2,2,2,2,1,
192	NM_199022	chr2	-	125627446	125724148	125629614	125723377	12	125627446,125639263,125649145,125652474,125655551,125657488,125666272,125670266,125678687,125680086,125694825,125722792,	125629770,125639517,125649319,125652535,125655720,125657609,125666324,125670320,125678807,125680150,125694896,125724148,	0	Shc4	cmpl	cmpl	0,1,1,0,2,1,0,0,0,2,0,0,
192	NM_007993	chr2	-	125300593	125506438	125301585	125505603	66	125300593,125303085,125306269,125308469,125309380,125309756,125312499,125312838,125314593,125315358,125316966,125317411,125318996,125320862,125321195,125321615,125324825,125328092,125328990,125330532,125332257,125335364,125338432,125341255,125342002,125342799,125343804,125344024,125345854,125346329,125348106,125350245,125351681,125351952,125358805,125360107,125361183,125362461,125362674,125363611,125363861,125365483,125367582,125369333,125369793,125370145,125370775,125372390,125373910,125377786,125379006,125381984,125383610,125387265,125389170,125389879,125394611,125397777,125403103,125412605,125466602,125468542,125477496,125479189,125505439,125506338,	125301975,125303260,125306501,125308589,125309509,125309873,125312622,125312964,125314800,125315484,125317098,125317534,125319116,125320979,125321261,125321765,125324951,125328212,125329119,125330649,125332383,125335487,125338558,125341327,125342161,125342922,125343930,125344093,125346019,125346452,125348229,125350371,125351804,125352075,125358931,125360233,125361306,125362587,125362800,125363740,125363987,125365711,125367708,125369384,125369931,125370265,125370901,125372516,125373964,125377939,125379129,125382107,125383736,125387385,125389311,125390065,125394770,125397903,125403229,125412803,125466698,125468638,125477595,125479272,125505789,125506438,	0	Fbn1	cmpl	cmpl	0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,-1,
194	NM_138750	chr2	-	127526952	127541417	127528754	127541320	24	127526952,127528745,127529131,127529399,127530119,127530363,127530703,127531104,127531808,127532736,127534824,127535046,127535544,127536542,127536955,127537329,127538257,127538661,127539182,127539522,127539776,127539995,127540511,127541076,	127528604,127528818,127529238,127529489,127530188,127530444,127530757,127531197,127531880,127532883,127534909,127535138,127535668,127536695,127537115,127537393,127538332,127538867,127539272,127539586,127539897,127540198,127540561,127541417,	0	Prom2	cmpl	cmpl	-1,2,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,1,1,0,2,0,1,0,
195	NR_028589	chr2	-	128298662	128429351	128429351	128429351	3	128298662,128330844,128429093,	128300996,128331049,128429351,	0	Morrbid	unk	unk	-1,-1,-1,
199	NM_198029	chr2	-	132904178	132946036	132906667	132942087	15	132904178,132911177,132915190,132915900,132917463,132918505,132922796,132924956,132925686,132933055,132934820,132936015,132939281,132941936,132945322,	132906841,132911319,132915315,132916122,132917570,132918630,132922846,132925088,132925794,132933158,132935034,132936162,132939515,132942105,132946036,	0	Fermt1	cmpl	cmpl	0,2,0,0,1,2,0,0,0,2,1,1,1,0,-1,
199	NM_144944	chr2	-	132370328	132385447	132373393	132381620	3	132370328,132381171,132385255,	132374090,132381750,132385447,	0	Prokr2	cmpl	cmpl	2,0,-1,
200	NM_007553	chr2	+	133552158	133562896	133554425	133561715	3	133552158,133554418,133560873,	133553351,133554768,133562896,	0	Bmp2	cmpl	cmpl	-1,0,1,
203	NM_013822	chr2	-	137081450	137116520	137083023	137116257	26	137081450,137084281,137084574,137084921,137085245,137085917,137087076,137087615,137088111,137088395,137088596,137089211,137089764,137090854,137091435,137091949,137092496,137093206,137094452,137095446,137096192,137100055,137101580,137106866,137115403,137116176,	137083481,137084432,137084706,137085155,137085355,137086031,137087162,137087643,137088228,137088509,137088710,137089325,137089929,137091005,137091609,137091996,137092610,137093320,137094566,137095566,137096323,137100116,137101835,137106918,137115709,137116520,	0	Jag1	cmpl	cmpl	1,0,0,0,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,0,0,0,
213	NR_030769	chr2	+	147184082	147331681	147331681	147331681	6	147184082,147286235,147287042,147303619,147305093,147331322,	147184360,147286401,147287207,147303818,147308271,147331681,	0	Nkx2-2os	unk	unk	-1,-1,-1,-1,-1,-1,
222	NM_001164663	chr2	-	157010441	157079265	157018352	157078909	15	157010441,157020189,157022816,157023796,157027386,157029479,157030518,157030787,157033257,157037169,157039826,157041893,157053518,157060187,157078228,	157018499,157021537,157022887,157023868,157027638,157029647,157030623,157031018,157033383,157037310,157041002,157041956,157053677,157060412,157079265,	0	Soga1	cmpl	cmpl	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
222	NM_001042487	chr2	+	156721278	156764363	156722071	156762903	7	156721278,156745834,156748331,156748943,156760850,156761772,156762684,	156722102,156746196,156748420,156749356,156760942,156761928,156764363,	0	Dlgap4	cmpl	cmpl	0,1,0,2,1,0,0,
223	NM_198627	chr2	+	157914652	157944719	157914810	157944123	4	157914652,157935324,157937190,157943856,	157914931,157935494,157937241,157944719,	0	Vstm2l	cmpl	cmpl	0,1,0,0,
224	NM_001159662	chr2	+	158667134	158766334	158695960	158761863	11	158667134,158695861,158740735,158746517,158749166,158751073,158755143,158755812,158756919,158757137,158761353,	158667249,158696210,158740806,158746663,158749270,158751198,158755269,158755888,158757049,158757306,158766334,	0	Ppp1r16b	cmpl	cmpl	-1,0,1,0,2,1,0,0,1,2,0,
230	NM_174988	chr2	-	165111506	165234737	165112157	165181149	12	165111506,165116139,165123515,165123721,165135183,165142053,165143641,165146604,165157249,165170622,165180903,165234554,	165112693,165116391,165123633,165123843,165135320,165142307,165143835,165146772,165157369,165170917,165181459,165234737,	0	Cdh22	cmpl	cmpl	1,1,0,1,2,0,1,1,1,0,0,-1,
230	NM_054055	chr2	-	165405294	165473197	165406679	165473161	13	165405294,165408821,165411869,165419985,165424529,165425949,165427037,165430207,165434036,165437281,165445491,165448521,165473050,	165406856,165408959,165412031,165420098,165424627,165426054,165427133,165430333,165434216,165437348,165445655,165448787,165473197,	0	Slc13a3	cmpl	cmpl	0,0,0,1,2,2,2,2,2,1,2,0,0,
232	NM_008420	chr2	-	167095968	167188818	167104352	167188623	2	167095968,167188056,	167106359,167188818,	0	Kcnb1	cmpl	cmpl	0,0,
233	NM_001037177	chr2	-	168518198	168590365	168519385	168590191	7	168518198,168523237,168534917,168536202,168567138,168570597,168590061,	168519552,168523378,168535090,168536405,168567310,168571633,168590365,	0	Nfatc2	cmpl	cmpl	1,1,2,0,2,1,0,
235	NM_001163686	chr2	+	170731806	170879775	170732122	170879238	8	170731806,170800849,170829839,170830068,170832881,170841419,170870816,170879173,	170732188,170800957,170829954,170830188,170833071,170841555,170870931,170879775,	0	Dok5	cmpl	cmpl	0,0,0,1,1,2,0,1,
237	NM_007557	chr2	-	172868011	172940321	172870136	172940069	7	172868011,172872871,172875214,172879325,172893447,172916466,172939654,	172870286,172872982,172875291,172879523,172893596,172916659,172940321,	0	Bmp7	cmpl	cmpl	0,0,1,1,2,1,0,
239	NM_001077507	chr2	+	174297858	174346742	174297861	174346388	11	174297858,174334211,174341649,174341809,174343199,174345074,174345227,174345382,174345648,174345989,174346241,	174300217,174334284,174341707,174341929,174343297,174345129,174345301,174345562,174345779,174346057,174346742,	0	Gnas	cmpl	cmpl	0,1,2,0,0,2,0,2,2,1,0,
243	NM_177191	chr2	-	178345295	178407658	178346332	178404671	44	178345295,178347422,178347572,178347775,178348221,178348420,178350017,178350830,178351581,178352451,178354916,178356439,178358094,178358708,178360305,178362939,178363415,178364697,178364841,178368473,178369267,178374354,178374913,178377638,178378019,178379399,178380853,178381838,178382332,178383465,178389452,178391690,178392342,178393975,178394115,178394948,178395220,178395837,178401620,178401909,178402713,178403657,178404647,178407546,	178346407,178347479,178347654,178347834,178348321,178348515,178350127,178350986,178351672,178352637,178355122,178356638,178358271,178358746,178360468,178362991,178363471,178364755,178364906,178368510,178369395,178374773,178375044,178377699,178378089,178379548,178380953,178381964,178382407,178383614,178389513,178391786,178392388,178394028,178394258,178394983,178395306,178395923,178401645,178402014,178402842,178403801,178404706,178407658,	0	Sycp2	cmpl	cmpl	0,0,2,0,2,0,1,1,0,0,1,0,0,1,0,2,0,2,0,2,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,2,0,1,0,0,0,0,0,-1,
244	NM_009867	chr2	+	179442430	179899375	179442621	179895918	16	179442430,179444699,179780253,179797457,179842968,179847219,179860116,179874071,179881809,179885853,179886719,179889088,179890742,179893191,179894027,179895711,	179442678,179444811,179780480,179797628,179843124,179847364,179860289,179874209,179881995,179886107,179886862,179889322,179890976,179893331,179894192,179899375,	0	Cdh4	cmpl	cmpl	0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,
245	NM_009936	chr2	+	180598221	180622185	180598259	180621420	32	180598221,180598865,180600044,180600521,180601581,180602641,180603101,180603356,180603748,180604133,180605217,180605726,180606474,180606807,180607082,180607626,180608431,180609325,180609480,180610055,180610189,180610659,180611259,180611428,180612953,180614146,180615287,180615476,180615802,180616380,180619692,180621229,	180598325,180598934,180600080,180600593,180601635,180602677,180603125,180603410,180603802,180604175,180605274,180605780,180606528,180606861,180607136,180607680,180608485,180609379,180609534,180610100,180610243,180610713,180611313,180611500,180612989,180614191,180615320,180615623,180615857,180616563,180619770,180622185,	0	Col9a3	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
613	NM_025626	chr2	+	3713457	3782134	3772851	3779617	4	3713457,3772795,3778417,3779500,	3713636,3772979,3778568,3782134,	0	Fam107b	cmpl	cmpl	-1,0,2,0,
631	NR_033470	chr2	+	6132868	6140570	6140570	6140570	2	6132868,6139121,	6134215,6140570,	0	Gm10857	unk	unk	-1,-1,
631	NM_001159657	chr2	-	6098499	6130185	6100335	6114030	4	6098499,6102812,6113892,6129895,	6101360,6103065,6114113,6130185,	0	Proser2	cmpl	cmpl	1,0,0,-1,
660	NM_008091	chr2	-	9857077	9878600	9858369	9877589	6	9857077,9863094,9868760,9874388,9877351,9878404,	9858654,9863220,9868906,9874925,9877984,9878600,	0	Gata3	cmpl	cmpl	0,0,1,1,0,-1,
660	NR_024257	chr2	+	9881245	9886767	9886767	9886767	5	9881245,9881765,9882542,9883006,9883795,	9881679,9881941,9882864,9883141,9886767,	0	4930412O13Rik	unk	unk	-1,-1,-1,-1,-1,
660	NR_040511	chr2	-	9883040	9889540	9889540	9889540	4	9883040,9883750,9887590,9889211,	9883326,9883795,9887667,9889540,	0	9230102O04Rik	unk	unk	-1,-1,-1,-1,
672	NM_001177752	chr2	-	11471430	11502090	11474495	11501700	14	11471430,11481870,11482053,11482444,11483928,11484204,11484654,11486218,11488725,11489670,11490289,11492559,11493902,11501624,	11474543,11481935,11482116,11482574,11484033,11484351,11484862,11486343,11488782,11489745,11490356,11492656,11494028,11502090,	0	Pfkfb3	cmpl	cmpl	0,1,1,0,0,0,2,0,0,0,2,1,1,0,
674	NM_001271497	chr2	+	11705292	11733985	11723447	11733249	7	11705292,11718263,11720012,11723412,11724095,11730570,11733149,	11705578,11718342,11720105,11723610,11724128,11730646,11733985,	0	Il15ra	cmpl	cmpl	-1,-1,-1,0,1,1,2,
678	NR_040353	chr2	+	12301245	12312315	12312315	12312315	2	12301245,12309886,	12301589,12312315,	0	E030013I19Rik	unk	unk	-1,-1,
684	NM_153155	chr2	-	13001886	13010864	13004264	13010847	2	13001886,13010259,	13004444,13010864,	0	C1ql3	cmpl	cmpl	0,0,
688	NM_011701	chr2	+	13574310	13582826	13574431	13582514	9	13574310,13575540,13578412,13578588,13579420,13580017,13580639,13581612,13582472,	13574994,13575601,13578508,13578750,13579546,13580238,13580683,13581698,13582826,	0	Vim	cmpl	cmpl	0,2,0,0,0,0,2,1,0,
722	NM_028317	chr2	-	18044086	18048449	18045609	18048339	1	18044086,	18048449,	0	Skida1	cmpl	cmpl	0,
722	NR_028376	chr2	-	18025188	18037741	18037741	18037741	2	18025188,18037566,	18028238,18037741,	0	A930004D18Rik	unk	unk	-1,-1,
722	NR_028378	chr2	+	18027248	18030577	18030577	18030577	1	18027248,	18030577,	0	Gm17762	unk	unk	-1,
727	NM_147778	chr2	+	18672434	18676231	18672464	18675926	8	18672434,18673894,18674124,18674280,18674655,18674808,18674949,18675866,	18672603,18674006,18674188,18674315,18674716,18674865,18675009,18676231,	0	Commd3	cmpl	cmpl	0,1,2,0,2,0,0,0,
727	NM_007552	chr2	+	18677017	18686629	18681811	18684481	10	18677017,18681792,18682222,18682838,18682980,18683174,18683368,18683664,18683985,18684151,	18677469,18681923,18682319,18682894,18683031,18683283,18683408,18683763,18684066,18686629,	0	Bmi1	cmpl	cmpl	-1,0,1,2,1,1,2,0,0,0,
733	NM_018809	chr2	+	19445662	19447501	19445860	19447166	2	19445662,19446966,	19446635,19447501,	0	Ptf1a	cmpl	cmpl	0,1,
771	NM_011040	chr2	-	24420550	24475599	24421547	24475097	12	24420550,24422968,24429526,24435762,24436447,24440639,24441077,24441591,24442939,24444565,24475072,24475484,	24421624,24423055,24429628,24435969,24436568,24440815,24441203,24441680,24443137,24444731,24475180,24475599,	0	Pax8	cmpl	cmpl	1,1,1,1,0,1,1,2,2,1,0,-1,
776	NM_001039386	chr2	+	25054378	25062881	25054600	25061769	16	25054378,25054997,25055635,25057100,25057964,25058252,25059020,25059604,25060138,25060478,25060691,25060813,25061058,25061261,25061492,25061671,	25054671,25055059,25056136,25057176,25057970,25058321,25059073,25059694,25060263,25060562,25060725,25060884,25061138,25061364,25061568,25062881,	0	Nsmf	cmpl	cmpl	0,2,1,1,2,2,2,1,1,0,0,1,0,2,0,1,
777	NM_146117	chr2	+	25289910	25291193	25289988	25291060	2	25289910,25290737,	25290661,25291193,	0	Lrrc26	cmpl	cmpl	0,1,
778	NM_001177366	chr2	+	25423693	25426373	25423814	25425901	2	25423693,25424885,	25423968,25426373,	0	Fut7	cmpl	cmpl	0,1,
778	NM_009849	chr2	+	25395873	25401323	25395972	25400973	9	25395873,25397395,25398000,25398290,25398531,25399281,25399616,25400563,25400769,	25396089,25397513,25398151,25398450,25398759,25399536,25399736,25400698,25401323,	0	Entpd2	cmpl	cmpl	0,0,1,2,0,0,0,0,0,
780	NM_029859	chr2	-	25608628	25617678	25608674	25617604	14	25608628,25609259,25609430,25609624,25610469,25611445,25611931,25612068,25613557,25615408,25616144,25616531,25616985,25617534,	25608793,25609356,25609541,25609793,25610630,25611546,25611986,25612194,25613680,25615513,25616312,25616609,25617107,25617678,	0	Ccdc183	cmpl	cmpl	1,0,0,2,0,1,0,0,0,0,0,0,1,0,
780	NM_001005424	chr2	-	25575415	25580099	25576972	25579897	1	25575415,	25580099,	0	Ajm1	cmpl	cmpl	0,
782	NM_001145403	chr2	+	25863794	25918273	25863967	25916117	32	25863794,25882195,25888068,25888758,25890848,25891190,25892057,25892333,25892473,25893128,25894281,25898270,25898698,25900222,25900371,25900888,25901208,25901751,25903358,25905272,25906662,25907274,25907515,25908044,25909204,25909593,25909813,25910265,25911025,25912654,25915778,25915996,	25864062,25882237,25888148,25888858,25890905,25891239,25892117,25892408,25892557,25893223,25894462,25898435,25898835,25900286,25900480,25900997,25901358,25901990,25903593,25905378,25906835,25907346,25907650,25908156,25909306,25909677,25909936,25910286,25911356,25912717,25915866,25918273,	0	Kcnt1	cmpl	cmpl	0,2,2,1,2,2,0,0,0,0,2,0,0,2,0,1,2,2,1,2,0,2,2,2,0,0,0,0,0,1,1,2,
784	NM_001039653	chr2	-	26200211	26206575	26201092	26206438	6	26200211,26202093,26202349,26202973,26203949,26206344,	26201511,26202262,26202501,26203176,26204121,26206575,	0	Lhx3	cmpl	cmpl	1,0,1,2,1,0,
791	NM_001177627	chr2	-	27021366	27027998	27021913	27027905	9	27021366,27022718,27023534,27024182,27024584,27025222,27025900,27027140,27027816,	27022069,27022864,27023643,27024335,27024793,27025322,27026107,27027303,27027998,	0	Slc2a6	cmpl	cmpl	0,1,0,0,1,0,0,2,0,
796	NM_011305	chr2	+	27677200	27763319	27677432	27759688	10	27677200,27737298,27741052,27741763,27748611,27752311,27754222,27756198,27757760,27759540,	27677460,27737564,27741203,27741943,27748781,27752441,27754355,27756290,27757866,27763319,	0	Rxra	cmpl	cmpl	0,1,0,1,1,0,1,2,1,2,
800	NM_001038612	chr2	+	28205688	28214431	28205949	28214106	4	28205688,28208077,28212531,28214100,	28206099,28208227,28212687,28214431,	0	Olfm1	cmpl	cmpl	0,0,0,0,
805	NM_001164186	chr2	-	28907679	28916440	28909627	28915679	4	28907679,28911341,28915213,28916309,	28909922,28911564,28916007,28916440,	0	Barhl1	cmpl	cmpl	2,1,0,-1,
808	NR_029460	chr2	-	29245115	29252993	29252993	29252993	2	29245115,29252464,	29248878,29252993,	0	6530402F18Rik	unk	unk	-1,-1,
812	NM_026615	chr2	+	29827388	29844996	29827400	29843171	5	29827388,29832691,29841401,29842720,29843102,	29827435,29832762,29841483,29842769,29844996,	0	Urm1	cmpl	cmpl	0,2,1,2,0,
812	NR_029838	chr2	-	29845630	29845727	29845727	29845727	1	29845630,	29845727,	0	Mir219a-2	unk	unk	-1,
818	NM_030137	chr2	+	30595043	30608945	30595069	30608469	2	30595043,30608159,	30595074,30608945,	0	Cstad	cmpl	cmpl	0,2,
